3.218121904424863455e+00,1.268253832686024296e+01,3.695733770556817177e+00,-2.018227768267387923e+00,1.157008056357036851e+00,1.121948118955045093e+00
3.162834066576160286e+00,1.261208864015301856e+01,3.625706227309525076e+00,-1.824869544374072117e+00,1.169097906542873488e+00,1.120370280479952907e+00
3.095450581045164462e+00,1.255040729106520558e+01,3.555678684062232087e+00,-1.528508578357673509e+00,1.155292464366570293e+00,1.107705015650611857e+00
3.017180726023504622e+00,1.249691484504391426e+01,3.485651140814939541e+00,-1.226231229124221223e+00,1.088410778841763848e+00,1.082433461339298075e+00
2.929233779702825391e+00,1.245103186753626900e+01,3.415623597567646996e+00,-9.642074974987107083e-01,1.026846608481454926e+00,1.052886448062670732e+00
2.832819020274766952e+00,1.241217892398938893e+01,3.345596054320354451e+00,-7.547231105211252844e-01,9.701677284023215719e-01,1.018182254810934273e+00
2.729145725930968602e+00,1.237977657985039137e+01,3.275568511073061906e+00,-5.933085721372494126e-01,9.186779317234915476e-01,9.750462571228752928e-01
2.619423174863077186e+00,1.235324540056639719e+01,3.205540967825769361e+00,-4.703845160662475378e-01,8.748879566033418431e-01,9.343431234238237515e-01
2.504860645262716456e+00,1.233200595158452373e+01,3.135513424578476815e+00,-3.764620256669573006e-01,8.403821182032147341e-01,8.943980570881095993e-01
2.386667415321535479e+00,1.231547879835189185e+01,3.065485881331184270e+00,-3.037385514269629883e-01,8.154786291477678084e-01,8.536121616691029201e-01
2.266052763231172218e+00,1.230308450631561890e+01,2.995458338083891725e+00,-2.459322986198335947e-01,7.984995469520228539e-01,8.235127722242525650e-01
2.144225967183266857e+00,1.229424364092282218e+01,2.925430794836598736e+00,-1.958781236109595481e-01,7.943810219296679742e-01,7.934384629741042527e-01
2.022338129543585161e+00,1.228835532441986444e+01,2.855403251589306191e+00,-1.457897191402127424e-01,8.041782917621882465e-01,7.769398133383315086e-01
1.901129482579060337e+00,1.228466723522088877e+01,2.785375708342013645e+00,-9.287315587951149032e-02,8.193624264308535521e-01,7.625692216375652421e-01
1.781163317206678531e+00,1.228236183240137436e+01,2.715348165094721100e+00,-3.766821123528969056e-02,8.473805025878390351e-01,7.589877116136116708e-01
1.663002233115415285e+00,1.228062132025501718e+01,2.645320621847428555e+00,2.123569398827996474e-02,8.819207797845984853e-01,7.612780088351350782e-01
1.547208829994245027e+00,1.227862790307551144e+01,2.575293078600136010e+00,8.680938837968758814e-02,9.212789143304701556e-01,7.644905324828203952e-01
1.434345707532150627e+00,1.227556378515655844e+01,3.905816400298695257e+00,1.628399222796600987e-01,9.662594366666708012e-01,7.625364023458818252e-01
1.324975465418091858e+00,1.227061117079184882e+01,4.065850128136220931e+00,2.542307904978867161e-01,1.010528316392140136e+00,7.558414316503115904e-01
1.219660703341051811e+00,1.226295226427508744e+01,4.218654735410955148e+00,3.673316059037960435e-01,1.057326650925003220e+00,7.516255091745488448e-01
1.118964020990004915e+00,1.225176926989996140e+01,3.977237509374408564e+00,5.101349854741742407e-01,1.101034260919770968e+00,7.526897970881600841e-01
1.023448018053926933e+00,1.223624439196017200e+01,3.701792480220340575e+00,6.919069606913392789e-01,1.142425706131464880e+00,7.618798225886214137e-01
9.336752942217990681e-01,1.221555983474941698e+01,3.420700867025347147e+00,9.212535081196876474e-01,1.180910065578747892e+00,7.781716414697190665e-01
